.model_id,.model_desc,.key,.index,.value,.conf_lo,.conf_hi,mean,low,high
3,GLMNET,prediction,20/02/2022,4.870889766,3.91793224,5.823847292,129.4369236,49.29633642,337.2709805
3,GLMNET,prediction,27/02/2022,5.136774723,4.183817197,6.089732249,169.1660497,64.6158444,440.3032359
3,GLMNET,prediction,06/03/2022,5.070596794,4.117639268,6.02355432,158.2693499,60.41408878,412.0440804
3,GLMNET,prediction,13/03/2022,4.988071274,4.035113749,5.9410288,145.6532966,55.54935228,379.3260079
3,GLMNET,prediction,20/03/2022,5.187410507,4.234452981,6.140368033,178.0044216,68.02391104,463.2243894
3,GLMNET,prediction,27/03/2022,5.299726714,4.346769189,6.25268424,199.2820683,76.22854855,518.4051634
3,GLMNET,prediction,03/04/2022,5.331985797,4.379028271,6.284943323,205.8483253,78.76049015,535.4338862
3,GLMNET,prediction,10/04/2022,5.642858238,4.689900712,6.595815764,281.2683568,107.8423726,731.0258036
3,GLMNET,prediction,17/04/2022,5.944493155,4.991535629,6.897450681,380.645877,146.1622367,988.7483125
3,GLMNET,prediction,24/04/2022,6.101326157,5.148368631,7.054283683,445.4494399,171.1504203,1156.807817
3,GLMNET,prediction,01/05/2022,6.230395531,5.277438005,7.183353057,506.9563561,194.8674206,1316.317903
3,GLMNET,prediction,08/05/2022,6.374525688,5.421568162,7.327483214,585.7070827,225.2336154,1520.547539
3,GLMNET,prediction,15/05/2022,6.612515745,5.659558219,7.565473271,743.3532683,286.0218138,1929.382157
3,GLMNET,prediction,22/05/2022,6.718514415,5.765556889,7.671471941,826.587147,318.1167073,2145.238258
3,GLMNET,prediction,29/05/2022,6.94287187,5.989914344,7.895829395,1034.740459,398.380399,2685.056456
3,GLMNET,prediction,05/06/2022,6.984577383,6.031619858,7.937534909,1078.849959,415.3889742,2799.448633
3,GLMNET,prediction,12/06/2022,6.849912727,5.896955201,7.802870252,942.7985346,362.9276924,2446.617184
3,GLMNET,prediction,19/06/2022,7.125979205,6.173021679,8.078936731,1242.86557,478.6332162,3224.801517
3,GLMNET,prediction,26/06/2022,7.102687999,6.149730473,8.055645525,1214.229223,467.5910718,3150.536923
3,GLMNET,prediction,03/07/2022,7.471965215,6.481084261,8.462846169,1757.058255,651.6782362,4734.516918
3,GLMNET,prediction,10/07/2022,7.342212101,6.351331147,8.333093055,1543.124097,572.2552885,4158.262507
3,GLMNET,prediction,17/07/2022,7.36471507,6.373834116,8.355596024,1578.265382,585.3014725,4252.919295
3,GLMNET,prediction,24/07/2022,7.252245667,6.261364712,8.243126621,1410.270535,522.9334709,3800.407306
3,GLMNET,prediction,31/07/2022,7.165675222,6.174794268,8.156556176,1293.235202,479.4841626,3485.160185
3,GLMNET,prediction,07/08/2022,7.109770596,6.118889641,8.10065155,1222.866754,453.3599119,3295.615285
3,GLMNET,prediction,14/08/2022,6.997562422,6.006681468,7.988443376,1092.963285,405.133315,2945.706474
3,GLMNET,prediction,21/08/2022,6.795152785,5.804271831,7.786033739,892.5057636,330.7135619,2405.752818
3,GLMNET,prediction,28/08/2022,6.852391489,5.861510535,7.843272444,945.1408891,350.2543255,2547.531127
3,GLMNET,prediction,04/09/2022,6.948053044,5.95717209,7.938933998,1040.120737,385.515546,2803.369451
